layer,table_name,column_name,datatype,is_pk,is_fk,ref_table
ODP,ODP_CUSTOMER,CUSTOMER_ID,STRING,Y,N
ODP,ODP_CUSTOMER,CUSTOMER_NAME,STRING,N,N
ODP,ODP_CUSTOMER,DOB,DATE,N,N
ODP,ODP_CUSTOMER,GENDER,STRING,N,N
ODP,ODP_CUSTOMER,KYC_STATUS,STRING,N,N
ODP,ODP_CUSTOMER,CUSTOMER_TYPE,STRING,N,N
ODP,ODP_CUSTOMER,CITY,STRING,N,N
ODP,ODP_CUSTOMER,STATE,STRING,N,N
ODP,ODP_CUSTOMER,COUNTRY,STRING,N,N
ODP,ODP_CUSTOMER,SRC_SYSTEM,STRING,N,N
ODP,ODP_CUSTOMER,LOAD_TS,TIMESTAMP,N,N
ODP,ODP_BRANCH,BRANCH_ID,STRING,Y,N
ODP,ODP_BRANCH,BRANCH_NAME,STRING,N,N
ODP,ODP_BRANCH,CITY,STRING,N,N
ODP,ODP_BRANCH,STATE,STRING,N,N
ODP,ODP_BRANCH,LOAD_TS,TIMESTAMP,N,N
ODP,ODP_ACCOUNT,ACCOUNT_ID,STRING,Y,N
ODP,ODP_ACCOUNT,CUSTOMER_ID,STRING,N,Y,ODP_CUSTOMER
ODP,ODP_ACCOUNT,BRANCH_ID,STRING,N,Y,ODP_BRANCH
ODP,ODP_ACCOUNT,ACCOUNT_TYPE,STRING,N,N
ODP,ODP_ACCOUNT,OPEN_DATE,DATE,N,N
ODP,ODP_ACCOUNT,STATUS,STRING,N,N
ODP,ODP_ACCOUNT,SRC_SYSTEM,STRING,N,N
ODP,ODP_ACCOUNT,LOAD_TS,TIMESTAMP,N,N
ODP,ODP_TRANSACTION,TXN_ID,STRING,Y,N
ODP,ODP_TRANSACTION,ACCOUNT_ID,STRING,N,Y,ODP_ACCOUNT
ODP,ODP_TRANSACTION,TXN_DATE,DATE,N,N
ODP,ODP_TRANSACTION,TXN_TYPE,STRING,N,N
ODP,ODP_TRANSACTION,AMOUNT,"NUMBER(18,2)",N,N
ODP,ODP_TRANSACTION,CURRENCY,STRING,N,N
ODP,ODP_TRANSACTION,CHANNEL,STRING,N,N
ODP,ODP_TRANSACTION,LOAD_TS,TIMESTAMP,N,N
ODP,ODP_CARD,CARD_ID,STRING,Y,N
ODP,ODP_CARD,ACCOUNT_ID,STRING,N,Y,ODP_ACCOUNT
ODP,ODP_CARD,CARD_TYPE,STRING,N,N
ODP,ODP_CARD,ISSUE_DATE,DATE,N,N
ODP,ODP_CARD,STATUS,STRING,N,N
ODP,ODP_CARD,LOAD_TS,TIMESTAMP,N,N
ODP,ODP_TRANSPORT_TICKET,TICKET_ID,STRING,Y,N
ODP,ODP_TRANSPORT_TICKET,CUSTOMER_ID,STRING,N,Y,ODP_CUSTOMER
ODP,ODP_TRANSPORT_TICKET,TRANSPORT_MODE,STRING,N,N
ODP,ODP_TRANSPORT_TICKET,ROUTE_ID,STRING,N,N
ODP,ODP_TRANSPORT_TICKET,JOURNEY_DATE,DATE,N,N
ODP,ODP_TRANSPORT_TICKET,FARE_AMOUNT,"NUMBER(10,2)",N,N
ODP,ODP_TRANSPORT_TICKET,PAYMENT_TXN_ID,STRING,N,Y,ODP_TRANSACTION
ODP,ODP_TRANSPORT_TICKET,LOAD_TS,TIMESTAMP,N,N
